Date,D
2023-01-05,57
2023-01-06,102
2023-01-07,262
2023-01-08,478
2023-01-09,737
2023-01-10,696
2023-01-11,629
2023-01-12,583
2023-01-13,414
2023-01-14,375
2023-01-15,392
2023-01-16,442
2023-01-17,623
2023-01-18,550
2023-01-19,570
2023-01-20,403
2023-01-21,455
2023-01-22,441
2023-01-23,639
2023-01-24,571
2023-01-25,541
2023-01-26,527
2023-01-27,360
2023-01-28,400
2023-01-29,431
2023-01-30,667
2023-01-31,550
2023-02-01,549
2023-02-02,600
2023-02-03,377
2023-02-04,340
2023-02-05,335
2023-02-06,594
2023-02-07,745
2023-02-08,633
2023-02-09,596
2023-02-10,327
2023-02-11,336
2023-02-12,415
2023-02-13,612
2023-02-14,499
2023-02-15,405
2023-02-16,356
2023-02-17,279
2023-02-18,288
2023-02-19,379
2023-02-20,498
2023-02-21,567
2023-02-22,565
2023-02-23,503
2023-02-24,402
2023-02-25,387
2023-02-26,415
2023-02-27,551
2023-02-28,505
2023-03-01,539
2023-03-02,546
2023-03-03,382
2023-03-04,387
2023-03-05,467
2023-03-06,544
2023-03-07,622
2023-03-08,537
2023-03-09,474
2023-03-10,164
2023-03-11,379
2023-03-12,387
2023-03-13,300
2023-03-14,349
2023-03-15,409
2023-03-16,516
2023-03-17,200
2023-03-18,235
2023-03-19,285
2023-03-20,516
2023-03-21,566
2023-03-22,534
2023-03-23,512
2023-03-24,309
2023-03-25,375
2023-03-26,389
2023-03-27,546
2023-03-28,508
2023-03-29,469
2023-03-30,518
2023-03-31,329
2023-04-01,367
2023-04-02,454
2023-04-03,495
2023-04-04,647
2023-04-05,469
2023-04-06,518
2023-04-07,245
2023-04-08,200
2023-04-09,366
2023-04-10,569
2023-04-11,528
2023-04-12,507
2023-04-13,485
2023-04-14,296
2023-04-15,363
2023-04-16,384
2023-04-17,543
2023-04-18,403
2023-04-19,520
2023-04-20,520
2023-04-21,256
2023-04-22,335
2023-04-23,379
2023-04-24,485
2023-04-25,450
2023-04-26,790
2023-04-27,523
2023-04-28,426
2023-04-29,362
2023-04-30,377
2023-05-01,370
2023-05-02,328
2023-05-03,166
